"","et le mode rupture d’union, les femmes sont plus touchées que les hommes.","","","","",""
"Tableau VII-17: Répartition de la population déjà mariés selon l'état matrimonial par situation dans","","","","","",""
"l'occupation et le sexe (%)","","","","","",""
"SITUATION DANS","","","","ETAT  MATRIMONIAL","",""
"SEXE 
L’OCCUPATION","","","","","",""
"","Mariés","Veuf/Veuve","","Divorcé(e)","Total déjà mariés",""
"PRINCIPALE","","","","","",""
"Travailleur","","","","","",""
"","98","","0,6","1,5","","1 126 904"
"indépendant","","","","","",""
"Employeur/Patron","97,6","","0,5","1,9","","88 501"
"Salarié/Employé","","","","","",""
"","97,8","","0,4","1,8","","228 276"
"permanent","","","","","",""
"Masculin","","","","","",""
"Salarié/Employé","","0,6","","","",""
"","96,9","","","2,5","","59 439"
"temporaire","","","","","",""
"Apprenti","96,8","","0,7","2,5","","21 365"
"Aide familial","98","","0,8","1,2","","92 953"
"Total","97,9","","0,6","1,6","","1617438"
"Travailleur","","","","","",""
"","87","","7,8","5,1","","520 193"
"indépendant","","","","","",""
"Employeur/Patron","85,1","","4,1","10,8","","28 497"
"Salarié/Employé","","","","","",""
"","87,2","","3,1","9,6","","103 765"
"permanent","","","","","",""
"Féminin","","","","","",""
"Salarié/Employé","","","","","",""
"","82,9","","4,2","12,9","","29 679"
"temporaire","","","","","",""
"Apprenti","90,6","","2,5","6,9","","9 861"
"Aide familial","88,7","","8,2","3,1","","77 701"
"Total","87","","6,9","6,1","","769 697"
"Travailleur","","","","","",""
"","94,5","","2,9","2,6","","1 647 097"
"indépendant","","","","","",""
"Employeur/Patron","94,5","","1,4","4,1","","116 998"
"Salarié/Employé","","","","","",""
"","94,5","","1,3","4,3","","332 041"
"permanent","","","","","",""
"Ensemble","","","","","",""
"Salarié/Employé","","","","","",""
"","92,3","","1,8","5,9","","89 118"
"temporaire","","","","","",""
"Apprenti","94,8","","1,3","3,9","","31 227"
"Aide familial","93,8","","4,2","2,1","","170 654"
"Total","94,4","","2,6","3","","2 387 134"
"Source : ANSD.RGPH-5, 2023","","","","","",""
