"Situation par rapport à l’occupation","Urbain","","","","Rural","","","","Ensemble","","",""
"","Homme","Femme","Ensemble","Indice 
de 
parité","Homme","Femme","Ensemble","Indice 
de 
parité","Homme","Femme","Ensemble","Indice 
de 
parité"
"Occupé","9,9%","5,7%","7,8%","58","15,8%","10,1%","13,0%","64","12,9%","7,9%","10,5%","61"
"Chômeur ayant travaillé","0,6%","0,2%","0,4%","45","1,2%","0,6%","0,9%","50","0,9%","0,4%","0,7%","47"
"A la recherche d'un premier emploi","2,6%","2,7%","2,6%","103","4,2%","4,5%","4,4%","106","3,4%","3,6%","3,5%","104"
"Occupé au foyer","0,0%","5,9%","3,0%","-","0,0%","10,6%","5,1%","-","0,0%","8,2%","4,1%","-"
"Etudiant/élève","75,1%","76,5%","75,8%","102","55,1%","58,2%","56,6%","106","64,7%","67,3%","66,0%","104"
"Rentier","0,4%","0,2%","0,3%","59","0,5%","0,3%","0,4%","59","0,5%","0,3%","0,4%","58"
"Personne du 3e âge pensionnée 
(FNR ou IPRES)","","","","","","","","","","","",""
"Personne du 3e âge non 
pensionnée","","","","","","","","","","","",""
"Autres inactifs, à préciser","11,5%","8,8%","10,1%","76","23,0%","15,7%","19,5%","68","17,5%","12,2%","14,9%","70"
"Total","100,0%","100,0%","100,0%","100","100,0%","100,0%","100,0%","100","100,0%","100,0%","100,0%","100"
