"que celles des hommes, quel que soit le milieu de résidence.","","","","","","","","","","","",""
"","Tableau XIII-18 : Répartition (%) de la population de 15 à 64 ans par situation dans l’occupation principale","","","","","","","","","","",""
"","selon le milieu de résidence et le sexe","","","","","","","","","","",""
"","","Urbain","","","","Rural","","","","Ensemble","",""
"Situation dans","","","","","","","","","","","",""
"","","","","Indice","","","","Indice","","","","Indice"
"l’occupation","","","","","","","","","","","",""
"","Homme","Femme","Ensemble","de","Homme","Femme","Ensemble","de","Homme","Femme","Ensemble","de"
"","","","","parité","","","","parité","","","","parité"
"Travailleur","","","","","","","","","","","",""
"","61,8%","59,1%","61,0%","0,96","69,7%","68,7%","69,4%","0,99","64,6%","61,9%","63,8%","0,96"
"indépendant","","","","","","","","","","","",""
"Employeur/Patron","6,9%","5,8%","6,6%","0,84","3,8%","2,4%","3,4%","0,62","5,8%","4,8%","5,5%","0,83"
"Salarié/Employé","","","","","","","","","","","",""
"","16,2%","19,0%","17,1%","1,17","5,3%","3,7%","4,9%","0,71","12,3%","14,5%","12,9%","1,19"
"permanent","","","","","","","","","","","",""
"Salarié/Employé","","","","","","","","","","","",""
"","4,8%","6,2%","5,3%","1,29","2,8%","2,4%","2,7%","0,84","4,1%","5,1%","4,4%","1,24"
"temporaire","","","","","","","","","","","",""
"Apprenti","7,3%","4,0%","6,3%","0,54","5,2%","2,5%","4,5%","0,47","6,6%","3,5%","5,7%","0,54"
"Aide familial","2,9%","5,8%","3,8%","2,01","13,3%","20,4%","15,1%","1,54","6,6%","10,1%","7,6%","1,52"
"Totale","100,0%","100,0%","100,0%","1,00","100,0%","100,0%","100,0%","1,00","100,0%","100,0%","100,0%","1,00"
"","Source: ANSD. RGPH-5, 2023","","","","","","","","","","",""
