"","Tableau XIII-21 : Profession exercée par les personnes de 15 à 64 ans selon le sexe et le milieu de","","","","","","","","","","",""
"résidence","","","","","","","","","","","",""
"","","","Urbain","","","","Rural","","","","Ensemble",""
"Profession","","","Indice de","Indice","","","Indice de","Indice","","","Indice de","Indice"
"","Homme","Femme","","","Homme","Femme","","","Homme","Femme","",""
"","","","ségrégation","de","","","ségrégation","de","","","ségrégation","de"
"","(%)","(%)","","","(%)","(%)","","","(%)","(%)","",""
"","","","professionnelle","parité","","","professionnelle","parité","","","professionnelle","parité"
"Membres de l’exécutif et des corps","","","","","","","","","","","",""
"législatifs, cadres supérieurs de","","","","","","","","","","","",""
"","1,3%","1,0%","0,2%","80","0,3%","0,2%","0,1%","55","0,9%","0,7%","0,1%","77"
"l’administration publique, dirigeants","","","","","","","","","","","",""
"et cadres","","","","","","","","","","","",""
"Professions intellectuelles et","","","","","","","","","","","",""
"","11,6%","8,6%","1,5%","74","13,6%","11,1%","1,3%","81","12,4%","9,6%","1,4%","77"
"scientifiques","","","","","","","","","","","",""
"Professions intermédiaires","9,1%","8,5%","0,3%","94","10,4%","10,0%","0,2%","96","9,6%","9,2%","0,2%","95"
"Employés de type administratif","0,6%","0,4%","0,1%","70","0,1%","0,0%","0,1%","24","0,4%","0,3%","0,1%","64"
"Personnel des services et vendeurs","","","","","","","","","","","",""
"","8,4%","7,7%","0,4%","93","2,9%","2,1%","0,4%","74","6,1%","5,4%","0,4%","89"
"de magasin et de marché","","","","","","","","","","","",""
"Agriculteurs et ouvriers qualifiés de","","","","","","","","","","","",""
"","3,2%","0,4%","1,4%","12","17,9%","7,0%","5,5%","39","9,3%","3,1%","3,1%","34"
"l’agriculture et de la pêche","","","","","","","","","","","",""
"Artisans et ouvriers des métiers de","","","","","","","","","","","",""
"","13,6%","2,1%","5,8%","15","5,2%","0,4%","2,4%","09","10,1%","1,4%","4,4%","14"
"type artisanal","","","","","","","","","","","",""
"Conducteurs d’installations et de","","","","","","","","","","","",""
"machines et ouvriers de","4,5%","0,1%","2,2%","02","2,8%","0,1%","1,4%","02","3,8%","0,1%","1,9%","02"
"l’assemblage","","","","","","","","","","","",""
"Ouvriers et employés non qualifiés","33,4%","61,2%","-13,9%","183","38,6%","62,5%","-12,0%","162","35,6%","61,8%","-13,1%","174"
"Autres professions","14,3%","9,8%","2,3%","68","8,2%","6,6%","0,8%","80","11,8%","8,5%","1,7%","72"
"Total","100%","100%","0,0%","100","100,0%","100,0%","0,0%","1,00","100,0%","100,0%","0,0%","100"
"","Source: ANSD. RGPH-5, 2023","","","","","","","","","","",""
