"Tableau VII-3: Répartition de la population âgée de 12 ans et plus, selon le statut matrimonial, le sexe et le","","","","","",""
"milieu de résidence","","","","","",""
"","","","","Statut matrimonial","",""
"Sexe","","","","","",""
"","","","","","Autres statuts",""
"","Marié (e)","Célibataire","Veuf/Veuve","Divorcé(e)","","Ensemble"
"","","","","","matrimoniaux",""
"","","","Urbain","","",""
"Masculin (%)","43,4","55,1","0,5","0,9","0,1","100"
"Féminin (%)","50,6","40,6","5,9","2,7","0,2","100"
"Ensemble","","","","","",""
"","47,1","47,6","3,3","1,8","0,1","100"
"(%)","","","","","",""
"Effectif","3 288 307","3 326 450","230 646","126 224","10 132","6 981 759"
"","","","Rural","","",""
"Masculin (%)","46,1","52,8","0,5","0,4","0,1","100"
"Féminin (%)","60,5","32,4","5,7","1,0","0,4","100"
"Ensemble","","","","","",""
"","53,4","42,5","3,1","0,7","0,3","100"
"(%)","","","","","",""
"Effectif","2 790 711","2 222 768","164 359","36 530","13 405","5 227 773"
"Source : ANSD.RGPH-5, 2023","","","","","",""
