"Tableau XIII-20 : Répartition de la population de 15 à 64 ans par secteurs d’activités selon le sexe et le","","","","","","","","","","","",""
"","milieu de résidence","","","","","","","","","","",""
"","","Urbain","","","","Rural","","","","Ensemble","",""
"Secteurs","","","","","","","","","","","",""
"","","","","Indice","","","","Indice","","","","Indice"
"d’activités","","","","","","","","","","","",""
"","Homme","Femme","Ensemble","de","Homme","Femme","Ensemble","de","Homme","Femme","Ensemble","de"
"","","","","parité","","","","parité","","","","parité"
"Primaire","14,0%","13,0%","13,7%","93","63,0%","67,6%","64,2%","107","31,6%","28,9%","30,8%","92"
"Secondaire","25,6%","11,8%","21,2%","46","10,8%","4,1%","9,1%","38","20,3%","9,6%","17,1%","47"
"Tertiaire","60,3%","75,2%","65,0%","25","26,2%","28,3%","26,7%","108","48,1%","61,5%","52,1%","128"
"Total","100,0%","100,0%","100,0%","100","100,0%","100,0%","100,0%","100","100,0%","100,0%","100,0%","100"
"Source: ANSD. RGPH-5, 2023","","","","","","","","","","","",""
