"Tableau XIII-11 : Niveau d'instruction de la population de 15 ans et plus selon le milieu de résidence et le","","","","","","","","","","","",""
"sexe","","","","","","","","","","","",""
"","","Urbain","","","","Rural","","","","Ensemble","",""
"Niveau","","","","","","","","","","","",""
"","","","","Indice","","","","Indice","","","","Indice"
"d’instruction","","","","","","","","","","","",""
"","Homme","Femme","Ensemble","de","Homme","Femme","Ensemble","de","Homme","Femme","Ensemble","de"
"","","","","parité","","","","parité","","","","parité"
"Sans instruction","43,0%","47,4%","45,3%","1,10","67,0%","70,6%","68,9%","1,05","53,0%","57,0%","55,1%","108"
"Préscolaire","0,7%","0,7%","0,7%","0,91","1,8%","1,7%","1,7%","0,96","1,2%","1,1%","1,1%","94"
"Primaire","16,6%","16,6%","16,6%","1,00","12,1%","11,6%","11,8%","0,96","14,7%","14,6%","14,6%","99"
"Moyen","16,0%","15,6%","15,8%","0,98","10,5%","10,2%","10,3%","0,97","13,7%","13,4%","13,5%","98"
"Secondaire","12,6%","11,7%","12,2%","0,93","5,6%","4,5%","5,1%","0,79","9,7%","8,8%","9,2%","90"
"Supérieur","11,1%","7,9%","9,5%","0,71","3,0%","1,4%","2,2%","0,45","7,7%","5,2%","6,4%","68"
"Total","100,0%","100,0%","100,0%","1,00","100,0%","100,0%","100,0%","1,00","100,0%","100,0%","100,0%","100"
"Source: ANSD. RGPH-5, 2023","","","","","","","","","","","",""
